,datePublished,review_title,text_content,Review,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended
10,3rd May 2023,the service was very poor,Trip Verified ,  I flew to Delhi and back and the service was very poor. I have flown other airlines and they were so much more nicer. Return trip was a nightmare and was more than an hour late and the seats and toilets not cleaned. No hot towels were given either. The female attendant was more keen on jumping around and not serving!,NA,Family Leisure,Business Class,Colombo to New Delhi,Apr-23,2,2,2,NA,4,NA,3,no
11,3rd May 2023,Staff new and not efficient,Not Verified ,  Bad food (especially London to Delhi sector). Entertainment not working on one side of the plane London to Delhi. Staff new and not efficient - taking too much time to serve even though flight running half capacity.,NA,Solo Leisure,Economy Class,Delhi to London,May-23,3,2,1,NA,3,NA,2,no
12,3rd May 2023,never travel again with Air India,Trip Verified ,"  I had very pathetic & unpleasant experience flying with Air India. In flight experience was really bad. Aircraft was really old. Seats were unserviceable, handle & foot rest were broken and adjusted with Tapes. Seat covers were torn. Food Quality was really really bad. Flight entertainment system was also not working. I will never travel again with Air India and will not recommend to anyone to waste money.",NA,Solo Leisure,Economy Class,Delhi to JFK New York,May-23,1,1,1,1,1,1,1,no
13,2nd May 2023,comment is mainly for safety concern,Trip Verified ,"  My comment is mainly for safety concern. I was allotted seat at emergency exit row, along with me in same row one was senior citizen and one was obese. I have request that emergency exit seats to be allocated to passengers which can actually help in evacuation in case of emergency. Please look into the issue for future flights considering safety of passengers",A319,Solo Leisure,Economy Class,Mumbai to Nagpur,May-23,2,3,1,NA,2,NA,2,yes
14,2nd May 2023,it was shocking,Trip Verified ," Absolutely disappointed to fly with Air India. From the first step in, it was shocking. The odour in the aircraft, no in-flight entertainment on a 13 hours flight, no proper information provided by the crew due to lack of knowledge, the condition of the physical aircraft interior, cleanliness, everything was poor.",NA,Solo Leisure,Economy Class,Toronto to Mumbai via Delhi,May-23,3,3,3,1,4,NA,2,no
15,28th April 2023,Would never fly again,Trip Verified ,"  Would never fly again. Didn't have a working screen for the whole flight and wasn't the only one on board who didn't, 2 of the 3 screens in the row were broken. When I pressed the buzzer for assistance it went unanswered for 40 minutes and eventually had to get someone, despite crew resetting the screens they remained broken and they didn't offer any further assistance. My seat also didn't recline which was very uncomfortable for sleeping. The flights were not cheap. I contacted them about my complaints and received no answer so they clearly don't care about customer service. The food was good and the only positive thing I can say.",NA,Couple Leisure,Economy Class,London to Sydney via Delhi,Jul-22,1,1,3,1,1,1,1,no
16,27th April 2023,not friendly to customers,Trip Verified ,"  I travelled on AI171 from Ahmedabad to London Gatwick on 20 th April and during beverages I asked cabin crew for two cans of beer, so was served. Later I asked for more Beer and cabin crew lady said you can have later. I waited two hours and I called and asked and she said I can't have beer. She was not friendly to customers.  Also TV screen was not working.",NA,Family Leisure,Economy Class,Ahmedabad to London Gatwick,Apr-23,4,1,1,1,5,NA,3,no
17,23rd April 2023,very bad experience in plane,Not Verified ,  ,NA,Solo Leisure,Economy Class,Delhi to Chennai,Apr-23,2,1,1,2,1,2,2,no
18,23rd April 2023,food was improved,Not Verified ,"  Have not travelled with this airline since 2016 but this time the crew and food was improved. We had 3 flights with them Cochin to Mumbai, Mumbai to Aurangabad return to Mumbai.",A319,Couple Leisure,Business Class,Mumbai to Aurangabad,Mar-23,4,4,4,NA,4,NA,4,yes
19,19th April 2023,an excellent flight,Trip Verified ,"  I have read mixed reviews of this flight. But it was an excellent flight with top notch service.  It was a proper three course meal. The food was 5 star level. I cannot say about Veg food, because I eat non veg and they gave us food three times. With regards to drinks, it was pretty decent with good brands. The TV was working properly, but I usually see the maps and do some work or read books. Towards the end of flight, the supervisor came and asked each passenger about their experience. On my return flight, it was the same experience, but some TV's were not working, but since the flight was empty, they adjusted the passengers in different seats if needed.  The team of Monica and Hiren were good. The flight from NYC to Mumbai had better food then from Mumbai to NYC. Both the flights were on time.  I understand that because of 2-3-2 seating, there was privacy issue.",Boeing 777,Solo Leisure,Business Class,Mumbai to New York,Mar-23,5,5,5,3,5,NA,5,yes
20,16th April 2023,nervous about our journey back home,Trip Verified ,"  For our 3 seats the entertainment units were not working, for my seat the headset was not working and I was told to just read the subtitles by the team member and that this would definitely keep me entertained! My friend in the next seat’s remote was not working and she was told to entertain herself through the 12 hour flight. The entertainment units not working on a day flight was frustrating, however the team members words were infuriating for us. The bathrooms were a mess throughout the journey and the crew were not keen to tidy them up. service was slow but professional. Admittedly nervous about our journey back home next week.",NA,Couple Leisure,Economy Class,Melbourne to New Delhi,Apr-23,4,2,4,1,4,NA,3,no
21,14th April 2023,Terrible customer service,Trip Verified ,"  Terrible customer service. Will choose to never fly with them again. The aircraft entry staff is predatory, will make demands on charging for carry on and laptop bag even when items bought are only from duty free and within reasonable amounts of weight. The flights are always overbooked and staff at the doors are unhelpful if any queries are raised.",NA,Solo Leisure,Economy Class,Delhi to Kathmandu,Apr-23,2,1,NA,NA,1,1,2,no
22,14th April 2023,entertainment non existent,Not Verified ,"  Check in was smooth, website works, staff at counters were ok including those in Seoul. Food average. Domestic connections were ok and food served was hot.  Inflight announcements - poor audio quality, grammar and mistakes in announcement including time, does not look professional. Cabin heads were both male and generally invisible. Safety only on screen, only one out of pop down screens worked. In one case my inflatable was on the ground. Onboard entertainment non existent both my flights neither mine or my wife's worked, touch screen non responsive most inflight maps did not work. Headphones are not provided, both times i requested for same in one case the attendant apologized and said he did not have them. They said things will get fixed after refurbishment said will take two years. Food was bad and Rice was undercooked. No hot towels wet wipes or even chocolate we got a packet of rice crackers. Staff - good to average. Tokyo flight unresponsive and rude , opposite on my Seoul flight. Interiors worn out in both flights, lumbar support lacking and worn out seats thin reminded me of cheap domestic flights.",NA,Couple Leisure,Economy Class,Hyderabad to Tokyo,Apr-23,2,3,3,1,4,1,3,no
23,12th April 2023,Will not fly Air India again,Not Verified ," Flew business class in Feb to New Delhi and back in March from Delhi to Vancouver. Aircraft is old and the seats didn't work. All broken. No TV's and the food was bad, expected a better service when flying business class. Can't imagine what economy would be. Bathroom were dirty, no soap or napkins. It seems like they don't really care knowing that People like to fly direct and they are the only option. Will not fly Air India again. Overhead bins were opening during turbulence. Felt very unsafe. On another note, staff did try their best and were very polite.",Boeing 777-300ER,Couple Leisure,Business Class,Delhi to Vancouver,Mar-23,1,3,1,1,3,1,1,no
24,11th April 2023,Air India are idling,Trip Verified ," Air India still use a 3x3x3 seating plan on this aircraft in economy which allows for fairly spacious seating. Overall the aircraft (VT-ANG) was worn and in need of maintenance to the interiors. Only certain screens were operational on the IFE and even these were prone to locking up. The flight map was not available at all ! Aircraft cleaning could do with a lot of improvement. Check-in and boarding were good and the flight left over half an hour late but arrived ahead of schedule. Food served was average to poor - looks like some cutbacks have been made in this area. We had a connecting flight from Delhi and it is really annoying having to collect checked bags, walk through to a domestic check-in to deposit bags and then go airside again - nothing to do with the airline but Indian bureaucracy at it's best. Overall, the flight was OK but Air India are idling until the Tata investment can take off and revamp the product to a more modern standard.",Boeing 787-8,Couple Leisure,Economy Class,London to Delhi,Mar-23,4,3,2,1,4,NA,2,yes
25,7th April 2023,Never flying Air India again,Trip Verified ,  Probably the worst airline. I flew from the Milan airport to New Delhi. The aircraft was extremely dirty with a foul smell from the toilets. We noticed that the toilet doors were broken and the door panel stuck which looks like temporary tapes. Twice the door was opened when someone was inside because of the door. Our seats were broken as the recliner didn’t work. In addition the touchscreen and controls of our inflight screen didn’t work. We spent 8 hours staring at air India logo on the screen. The croissant served for breakfast had gone off and very chewy so not edible. On a positive note the cabin crew were polite and professional. Never flying Air India again.,Boeing 787,Family Leisure,Economy Class,Milan to New Delhi,Apr-23,1,4,1,1,3,NA,1,no
26,6th April 2023,unfair and bad service,Not Verified ," My flight was from Milan to Hyderabad and it was horrible with the baggage policy. I had to collect my baggage in Delhi and again re check-in in Delhi, there was a delay in flight too. I was told I can collect my luggage at Hyderabad but Air India failed to do so. This is unfair and bad service.",NA,Solo Leisure,Economy Class,Milan to Hyderabad via Delhi,Apr-23,3,3,3,3,1,3,3,no
27,5th April 2023,Seat armrests are broken,Trip Verified ,"  We flew Air India on March 31st. Ground crew at Vancouver she is very nice and friendly. However the aircraft is too old. Seat armrests are broken and entertainment are not working. I could not even charge our devices. But the flight attendants specifically Chodden and Anisha are friendly, they made sure that our kids were entertained while on flight. I don't think we will be flying Air India in our future travel.",NA,Family Leisure,Economy Class,Yvr to Ccu,Mar-23,1,5,2,1,5,1,2,no
28,5th April 2023,reluctant to help in any way,Not Verified ,  We were to fly on December 6 from EWR to DEL. When we arrived at the Airport there were no reps from Air India. There was Airport Ground staff and they were telling the 300 passengers that the plane that was supposed to come did not leave India. Apparently there were some Operational issues all over the US. We were told to go back home and come at midnight the same day. Surprisingly when we contacted Air India they did not have a clue and kept saying that the flight was on time. I showed the Rep the status on the internet and then they suddenly became aware of the issue. I told them that I had to fly the same day due to a death in the family but they were reluctant to help in any way or offer a seat with a partner airline. They simply said we cannot help you.,NA,Couple Leisure,Economy Class,Newark to Delhi,Dec-22,NA,NA,NA,NA,2,NA,1,no
29,4th April 2023,Nothing was working at all,Trip Verified ,"  Rusty old broken aircraft. Ground staff at Vancouver airport misguided me for not upgrading my flight to business so unable to upgrade my tickets and suffered a flight in economy class. Booked seats by paying extra money and seats were the worst. Broken arms broken entertainment system. Nothing was working at all. For 15 hrs of the flight we just sitting looking at blank’s screen. Very very poor aircraft, rusty or cushions broken seats, useless entertainment systems.Even though business and economy seats were vacant the crew were not able to provide us alternatives which is a shame. I will never ever travel again on Air India flights and would never recommend anyone using it.",NA,Family Leisure,Economy Class,Vancouver to Delhi,Apr-23,1,3,3,1,1,1,1,no
30,3rd April 2023,scammed me for such a huge amount,Trip Verified ,  I first travelled in May 2022 and had return flight Aug 20th 2022. As per the itinerary I reached the airport and stood up in the line and when I reached at the checking counter after looking at my ticket the rep. simply directed me to the manager working on that day. I was informed that the flight has been cancelled from Tel Aviv from where I had my connecting flight. After all the trials and everything I was directed at the reservation counter of air India and assured that I have received the refund on profile but need to contact agent who booked my flight because amount goes back to their account. For almost an year of a try they have not initiated the refund and the reason they have is of no show? Literally there’s no other answer they have which is clearly they are lying and basically scammed me for such a huge amount?,NA,Solo Leisure,Economy Class,New Delhi to Tel Aviv,May-22,1,3,1,1,1,1,1,no
31,2nd April 2023,The flight experience was horrible,Not Verified ,"  We flew with Air India on 2nd April, 2023 from Narita International Airport to Indira Gandhi International Airport, Delhi (India). The flight experience was horrible. It was worse than any other budget airline we have travelled with so far. The cabin crew not very responsive and often calls for them fell on deaf ears. Most importantly in flight entertainment system for most of the seats was not functional. ""Attempts"" to resolve this issue was futile. The entire 9 hours of flight we had to sit idle with nothing to entertain us. We have faced issue with the in flight entertainment system before too, with the handset on the previous flight being broken and unusable. Additionally the food was tasteless. We will surely not recommend this airline to anyone. Frankly, Air India not only failed to meet our expectations but also failed miserably to provide minimal standard of long international flight experience. (However the ground crew is very co-operative and have helped us to resolve many issues with boarding pass and baggage on this trip).",Boeing 787-8 (Dreamliner),Family Leisure,Economy Class,Narita to Delhi,Apr-23,2,3,2,1,5,NA,2,no
32,2nd April 2023,Baggage service to be improved,Trip Verified ,  Service is good. Flight was on time but it’s always a case nowadays it takes almost an hour for baggage to reach the belt. Baggage service to be improved.,NA,Family Leisure,Economy Class,Goa to Mumbai,Apr-23,4,3,3,NA,2,NA,3,yes
33,30th March 2023,Extremely disgusted by Air India,Trip Verified ," Flight from Kolkata, which was supposed to depart at 6.40 am was delayed due to technical difficulties till 11.30. All passengers, myself included, missed their connecting flights and the airline in no way gave even a shred of consideration for something that is entirely their fault. Extremely disgusted by Air India and will never fly it again. Recommend all to find other airlines which will actually reach you to your destination.",NA,Solo Leisure,Economy Class,Kolkata to Delhi,Mar-23,1,1,1,NA,1,NA,1,no
34,25th March 2023,amazing legroom,Not Verified ," Here is my experience onboard Air India's Boeing 787-8. The airline does not have a good reputation as of now unlike its glorious past. On entering the cabin and reaching my seat, I found the cabin to be a little unclean. But the seat was good. But the best part yet about Air India was their amazing legroom. It was so much, that I kind of got a feeling of sitting in Premium Economy (without the Premium Economy service of course). The footrests provided also gave a good impression. The food was decent. But the worst part about the flight was that my audio insertion socket was broken. As a result, I ended up watching certain shows without sound, and the entertainment system by itself wasn't good. What's the point of adding categories, when there is absolutely NO content in that particular category? Overall, apart from the entertainment system, the experience onboard Air India was quite good. I would gladly fly them if there are improvements in the IFE and cabin cleanliness.",Boeing 787-8,Family Leisure,Economy Class,Mumbai to Bangkok,Oct-22,4,4,4,2,4,NA,3,yes
35,24th March 2023,IFE screen does not work,Not Verified ,"  I wish I can go with o stars. Flight was announced late of 2 hours and then another 3 hours unofficially. Sad thing is flight waited for cabin crew for an hour or so. The IFE screen does not work and no one knows where we are in air as maps also does not show on main display. Even family back home does not know exact ETA as airline is not providing exact information online. In Delhi, no one cares as other connecting flight is missing . Next flight is after 8 hours. I ended up in airport all night.",NA,Family Leisure,Economy Class,San Francisco to Delhi,Mar-23,1,3,1,NA,1,NA,1,no
36,22nd March 2023,Flight was clean and neat,Trip Verified ,  Air India surprised me with the service for the price. Flight was clean and neat. They attached a tab for each seat with disposable headset to watch movies and free food that too with good taste.,Boeing 777,Business,Economy Class,Chennai to Delhi,Mar-23,5,5,5,5,5,NA,5,yes
37,21st March 2023,Air India did not disappoint,Trip Verified ,"  We bumped up to first class for our 37th wedding anniversary. From beginning to end, on our 14+ hour flight to India, Air India did not disappoint. The entire cabin crew was very friendly and welcoming, including the pilots. Tenzen, our flight attendant was awesome in every way. She made us feel like family. We will definitely be using Air India on our future trips. See attached photos of our sweet anniversary note, cheese cake and champagne! They didn't have to do any of it. Very special memory indeed.",NA,Couple Leisure,Business Class,Chicago to Delhi,Feb-23,5,5,5,NA,5,NA,5,yes
38,20th March 2023,the worst I have ever flown with,Not Verified ,"  This airline is by far the worst I have ever flown with. No screens working, only one toilet from 4 working, no overhead lighting working. Awful food and the poorest drinks selection ever.",NA,Couple Leisure,Economy Class,London Heathrow to Goa,Jan-23,1,1,1,1,1,NA,1,no
39,18th March 2023,not a good customer experience,Trip Verified ,"  Worst customer service. They don’t stick to their word. Our bags suppose to get delivered by March 15th 2023. When we requested at Hyderabad airport on March 14, they said - bags are coming in next flight and will directly ship your address. When called on Mar 15, they said - bags got delayed and coming in next flight. When called on Mar 16, they said - bags are coming in cargo. When called on Mar 17, they said - it is in Delhi, will be shipped to Hyderabad address.. When called on Mar 18, they said - bags are expected to deliver by March 18. I really want to understand - what service these guys are maintaining. If something happened during the journey (in our case delay in baggage) you will end up hours of time to following up with customer care. For sure it is not a good customer experience.",NA,Family Leisure,Economy Class,Chicago to Hyderabad via Delhi,Mar-23,1,3,2,1,1,NA,1,no
40,16th March 2023,Worst experience ever,Trip Verified ,"  I travelled with Air India for return flight on March 6th, 2023 from Delhi to Tokyo. I had an additional luggage for which they made me pay $400CAD for only one 23kg bag, which unacceptable. As my ticket says $100 per additional luggage and that's exactly what I paid when departed from Canada on Jan 15th, 2023. I showed them the ticket and reminded them about the fee and the agent at Delhi Airport was like you have to pay $400 CAD else you can leave your luggage or dispute the amount after your trip. There has to be a consistency what they say and what they issue on a ticket. I will not fly with Air India again, as neither their inflight service is good nor the charges they make us pay on time. Worst experience ever.",NA,Family Leisure,Economy Class,Delhi to Tokyo,Mar-23,1,1,2,1,1,1,1,no
41,16th March 2023,rude in their services,Not Verified ,"  I flew recently from JFK to Delhi to CCU. The flight from JFK to Delhi is horrible. The flight has no charging place. Our TV screen was not working and many of our fellow passenger's. Food was terrible.  Flight has no wifi services. Seats and tray tables are broken. The flight has only two functioning bathrooms, rest of the bathrooms are closed, god knows what happened to those. Air hostesses are rude in their services.",Boeing 777,Family Leisure,Economy Class,New York to Kolkata via Delhi,Feb-23,1,1,1,1,4,1,1,no
42,16th March 2023,my luggage was damaged,Not Verified ,"  I traveled on 28th January 2023 from Doha to New Delhi and my luggage was damaged despite fragile, heavy, priority and other mandatory stickers on it and this was the 2nd time. I decided to get my compensation and made a final settlement with the officer of lost and found department of Air India and was told that it would be received within 48 Hours and till the date it has not been received.",NA,Solo Leisure,Economy Class,Doha to New Delhi,Jan-23,3,4,3,NA,2,NA,2,no
43,15th March 2023,I appreciate the attitude of the crew,Trip Verified ,  ,NA,Family Leisure,Business Class,Delhi to Vancouver,Mar-23,5,5,5,3,4,NA,5,yes
44,14th March 2023,Appalling airline,Trip Verified ,"  Appalling airline. My flight from Mumbai to Bengaluru (Air India 609) scheduled to depart on March 1 at 8:00 am was delayed initially for 2 hours for ‘technical reasons’. We finally boarded at 10:00 am and started taxiing; the flight was then aborted before takeoff for a new ‘technical issue’. All passengers were stranded on the plane for what seemed like an eternity before being offloaded on to a bus. The passengers were stuck on the bus for better part of an hour because the driver was not informed by the airline as to where to drop off the passengers. Finally, the passengers were taken to ‘arrival’ but not informed about where to collect their previously checked-in bags leading to total chaos. After collecting our bags we were asked to wait by the check-in counter for announcement regarding a replacement flight. During the entire fiasco, the Air India staff members at the airport were totally dysfunctional and incompetent. Nobody had a clue as to when we would be able to get on an alternative flight. The irate passengers had to wait by the counter without food or water for several hours before finally being accommodated on a flight late evening. An entire day was wasted waiting to get on a short flight. To add insult to injury, the airline staff members were found smirking behind the counters at the passengers who were understandably distressed at the situation. I learnt subsequently that my experience with Air India was not uncommon. I caution other potential passengers to read reviews and experiences of others before booking a flight on this airline. I will never ever book a flight on this airline again.",NA,Couple Leisure,Economy Class,Mumbai to Bengaluru,Mar-23,2,2,1,1,1,1,1,no
45,13th March 2023,No accountability or professionalism,Trip Verified ,"  It's a disgrace. No accountability or professionalism. After takeover by TATA one expected it would improve but nonetheless seems nothing changed. Incessant delays, bad food, broken chairs. It doesn't deserve to be called an international airline. It's worse than domestic airline. The staff are completely disorganized and untrained. My flight was cancelled without reason. Then they allotted a flight the other day and that too was first delayed by 4 hrs and that wasn't enough they made us sit inside Aircraft for 3 hours due to a technical snag without any sort of aircon. After that the flight finally reached to its layover location after 7 hr delay and here again the flight hit a technical snag and delayed for 2 hr. Air India you should close your operations and stop tarnishing India's name. People of India are normally cost conscious and that's the only reason I guess they fly with AI when they get a better deal but I feel even if it costs higher just go for some other airline to avoid this.",Boeing 787,Business,Business Class,Delhi to Nairobi,Mar-23,1,1,1,1,1,1,1,no
46,12th March 2023,Complete disaster,Trip Verified ," Complete disaster. The business class is definitely not worth it. But that's not the worst part! The ground staff is inexperienced and incompetent. I flew from Delhi to JFK via Mumbai. And needless to say, I had a confirmed ticket in business class. In Delhi, Air India ground staff told me that they can not assign me seats for the flight from Mumbai to JFK. So they gave me a boarding pass for Mumbai to JFK flight, where in place of seat number it said ""STB"". I boarded the flight from Delhi to Mumbai, and upon arriving in Mumbai, went to the Air India counter in Mumbai to get my boarding pass for the Mumbai to JFK flight with a valid seat number. Now the fun part begins! I was talking to a young lady who appeared completely clueless on how to address this situation (layover). Unfortunately, I showed her the boarding pass that they gave me in Delhi. Remember ""STB"", which most likely was a way for them to communicate to the Mumbai staff the fact that the seat number is not assigned yet. The lady immediately calls for help. She discusses with the person who came to help. She first tells me that she needs time to process my ticket, as she wants to make sure me and my son are sitting next to each other. So I wait. After around 10-15 minutes, when I inquire again, she says she is trying her BEST but that I am on STANDBY! (Remember STB!). She said she needs to speak with her supervisor. I spent almost an hour at the counter and after yelling a bit on her and her supervisor, they finally gave me the boarding pass. But they took my Delhi to Mumbai boarding pass (perhaps my bad!) and I had to go back later to collect my checked in baggage receipt. Upon boarding the flight, the business class section I was in was almost empty, and they were repairing my seat! Not sure why they could not assign me some other seat which was in a working condition. The seat was torn, remote barely functioning with no flight map. Food was ok. Fortunately, I had a very nice flight attendant who made my trip somewhat bearable.",NA,Family Leisure,Business Class,Delhi to New York via Mumbai,Feb-23,3,5,3,1,1,NA,2,no
47,11th March 2023,A total disgrace,Trip Verified ,"  A total disgrace. Flight delayed overnight, nobody at the airport to assist or offer advice. Flying to JFK from Indore via Mumbai. Flight from Mumbai to JFK delayed 14 hours for now, maybe longer. Took me an hour at the airport to figure out where to go and finally the best they can do is put me up in a total dump of a hotel with no internet service, no cable, no television in the middle of a shanty, with no contact to the outside world other than paying $100 so I can access my US phone plan, no change of clothing. It's a complete disgrace. It's your delay but rather than accept responsibility and make sure you act apologetic and make sure your customers are comfortable and taken care of, all I got was punished and made to sit in a dump staring at four walls with nothing to do. Complete disgrace. Every time I fly this airline I regret it.",NA,Business,Economy Class,Mumbai to New York,Mar-23,1,1,1,1,1,1,1,no
48,9th March 2023,the seats did not recline,Not Verified ,"  The flight was on-time, leg room was not bad, the in-flight stewardesses were attentive, check-in was efficient with the generous baggage allowance (one of the main reasons, I opted for Air India) and baggage was delivered promptly. However the aircraft was a tired and old A319 where the seats did not recline, the cushioning was worn and the food to put it mildly was atrocious. It was a short 1 hour flight and frankly food was not needed on such a short hop but better to give some peanuts and cookies or just a croissant instead of the slimy, tasteless sandwich which was offered.",A319,Family Leisure,Economy Class,Mumbai to Mangalore,Feb-23,2,4,1,NA,4,NA,4,yes
49,5th March 2023,Horrible service,Not Verified ,"  Horrible service, the aircraft had a technical issue and no one informed the passengers about the fault. The flight is already an hour and a half delayed, the flight staff is utter useless and disrespectful. No courtesy to provide water or even inform the passengers about the timeframe.",NA,Family Leisure,Economy Class,Chennai to Dubai,Mar-23,1,1,1,1,1,1,1,no
50,4th March 2023,I was very disappointed,Trip Verified ,  I was very disappointed that none of the screens on inbound and outbound flights were working ! I have difficulty sleeping on a flight so to pass 8 to 9 hours without in-flight entertainment is next to impossible. The food is not that nice either.,Boeing 787-8,Couple Leisure,Economy Class,London to Ahmedabad via Mumbai,Mar-23,2,2,2,NA,2,NA,1,no
51,3rd March 2023,Service gone so down,Trip Verified ,"  I was flying with my friends, flight was packed. None of seat screen was working, no one listening to say sorry about this. When food was serving, staff were asking all what would you like have Veg or Non veg? As all says Veg food and end of the seats 10 people didn’t get any food as they were all vegetarian and vegetarian food not available as they given to all. It supposed to person who has book vegetarian food should have first priority not the last. In return on 1 March, same issue. Even when they serve the food, tea cup was dirty.  Service gone so down - very poor when they charge a lot. Not worth money to spend on Air India.",Boeing 787-8,Family Leisure,Economy Class,Birmingham to Amritsar,Mar-23,2,1,1,1,1,1,1,no
52,3rd March 2023,Food was below average quality,Trip Verified ,"  Flight out on time Good service. Seat OK. Screen not working. Food reasonable. Return flight changed 1 day before (text and phonecall) Actually to a better time but on the day 50min delay at least 30min of which was standing in a corridor. Seat was creaky and uncomfortable. Food was below average quality. Service was polite and efficient. Overall I would only go Air India if the price was good which to be fair it was, but I would probably pay a bit more for a better experience if available.",Boeing 787,Solo Leisure,Economy Class,London to Goa,Mar-23,2,4,3,1,3,NA,3,yes
